date,site,PM10,PM25,month,year,days_per_month
2015-07-29T12:00:00Z,Ashburton,28.2,NA,7,2015,31
2015-07-30T12:00:00Z,Ashburton,18.7,NA,7,2015,31
2015-07-31T12:00:00Z,Ashburton,12.1,NA,8,2015,31
2015-08-01T12:00:00Z,Ashburton,12.6,NA,8,2015,31
2015-08-02T12:00:00Z,Ashburton,28.5,NA,8,2015,31
2015-08-03T12:00:00Z,Ashburton,11.9,NA,8,2015,31
2015-08-04T12:00:00Z,Ashburton,26,NA,8,2015,31
2015-08-05T12:00:00Z,Ashburton,42.7,NA,8,2015,31
2015-08-06T12:00:00Z,Ashburton,12.7,NA,8,2015,31
2015-08-07T12:00:00Z,Ashburton,12.4,NA,8,2015,31
2015-08-08T12:00:00Z,Ashburton,12.8,NA,8,2015,31
2015-08-09T12:00:00Z,Ashburton,21.9,NA,8,2015,31
2015-08-10T12:00:00Z,Ashburton,21.8,NA,8,2015,31
2015-08-11T12:00:00Z,Ashburton,39.2,NA,8,2015,31
2015-08-12T12:00:00Z,Ashburton,32.2,NA,8,2015,31
2015-08-13T12:00:00Z,Ashburton,23.1,NA,8,2015,31
2015-08-14T12:00:00Z,Ashburton,18.1,NA,8,2015,31
2015-08-15T12:00:00Z,Ashburton,10.2,NA,8,2015,31
2015-08-16T12:00:00Z,Ashburton,30.3,NA,8,2015,31
2015-08-17T12:00:00Z,Ashburton,14,NA,8,2015,31
2015-08-18T12:00:00Z,Ashburton,19.6,NA,8,2015,31
2015-08-19T12:00:00Z,Ashburton,28.6,NA,8,2015,31
2015-08-20T12:00:00Z,Ashburton,35.8,NA,8,2015,31
2015-08-21T12:00:00Z,Ashburton,36.5,NA,8,2015,31
2015-08-22T12:00:00Z,Ashburton,29.3,NA,8,2015,31
2015-08-23T12:00:00Z,Ashburton,25.2,NA,8,2015,31
2015-08-24T12:00:00Z,Ashburton,19.1,NA,8,2015,31
2015-08-25T12:00:00Z,Ashburton,27.3,NA,8,2015,31
2015-08-26T12:00:00Z,Ashburton,38.4,NA,8,2015,31
2015-08-27T12:00:00Z,Ashburton,34.9,NA,8,2015,31
2015-08-28T12:00:00Z,Ashburton,45,NA,8,2015,31
2015-08-29T12:00:00Z,Ashburton,18.3,NA,8,2015,31
2015-08-30T12:00:00Z,Ashburton,8.7,NA,8,2015,31
2015-08-31T12:00:00Z,Ashburton,13.2,NA,9,2015,30
2015-09-01T12:00:00Z,Ashburton,30.1,NA,9,2015,30
2015-09-02T12:00:00Z,Ashburton,10.6,NA,9,2015,30
2015-09-03T12:00:00Z,Ashburton,16,NA,9,2015,30
2015-09-04T12:00:00Z,Ashburton,11.5,NA,9,2015,30
2015-09-05T12:00:00Z,Ashburton,9.6,NA,9,2015,30
2015-09-06T12:00:00Z,Ashburton,24.3,NA,9,2015,30
2015-09-07T12:00:00Z,Ashburton,23.8,NA,9,2015,30
2015-09-08T12:00:00Z,Ashburton,27.3,NA,9,2015,30
2015-09-09T12:00:00Z,Ashburton,14.8,NA,9,2015,30
2015-09-10T12:00:00Z,Ashburton,8.8,5.8,9,2015,30
2015-09-11T12:00:00Z,Ashburton,14.1,9.5,9,2015,30
2015-09-12T12:00:00Z,Ashburton,23.2,13.2,9,2015,30
2015-09-13T12:00:00Z,Ashburton,34.9,18.2,9,2015,30
2015-09-14T12:00:00Z,Ashburton,10.8,4.4,9,2015,30
2015-09-15T12:00:00Z,Ashburton,18.2,4.4,9,2015,30
2015-09-16T12:00:00Z,Ashburton,12.3,3.7,9,2015,30
2015-09-17T12:00:00Z,Ashburton,11.3,5.1,9,2015,30
2015-09-18T12:00:00Z,Ashburton,12.8,5.6,9,2015,30
2015-09-19T12:00:00Z,Ashburton,14.9,8.3,9,2015,30
2015-09-20T12:00:00Z,Ashburton,17.2,13.3,9,2015,30
2015-09-21T12:00:00Z,Ashburton,20,15.6,9,2015,30
2015-09-22T12:00:00Z,Ashburton,9.3,5.5,9,2015,30
2015-09-23T12:00:00Z,Ashburton,12.1,8.9,9,2015,30
2015-09-24T12:00:00Z,Ashburton,18,15.2,9,2015,30
2015-09-25T12:00:00Z,Ashburton,6.3,6.2,9,2015,30
2015-09-26T12:00:00Z,Ashburton,12.2,9.7,9,2015,30
2015-09-27T11:00:00Z,Ashburton,16,10.3,9,2015,30
2015-09-28T11:00:00Z,Ashburton,14.6,8.8,9,2015,30
2015-09-29T11:00:00Z,Ashburton,21.4,9.9,9,2015,30
2015-09-30T11:00:00Z,Ashburton,10.3,4,10,2015,31
2015-10-01T11:00:00Z,Ashburton,16.5,6.7,10,2015,31
2015-10-02T11:00:00Z,Ashburton,21.2,7.3,10,2015,31
2015-10-03T11:00:00Z,Ashburton,42.9,6.7,10,2015,31
2015-10-04T11:00:00Z,Ashburton,22.8,7.9,10,2015,31
2015-10-05T11:00:00Z,Ashburton,24.3,7.8,10,2015,31
2015-10-06T11:00:00Z,Ashburton,49.1,7.4,10,2015,31
2015-10-07T11:00:00Z,Ashburton,14.7,5.6,10,2015,31
2015-10-08T11:00:00Z,Ashburton,22.4,10.1,10,2015,31
2015-10-09T11:00:00Z,Ashburton,14,4.9,10,2015,31
2015-10-10T11:00:00Z,Ashburton,12.5,4.8,10,2015,31
2015-10-11T11:00:00Z,Ashburton,17.1,3.8,10,2015,31
2015-10-12T11:00:00Z,Ashburton,15.4,5.8,10,2015,31
2015-10-13T11:00:00Z,Ashburton,18.8,8.5,10,2015,31
2015-10-14T11:00:00Z,Ashburton,22.6,9.6,10,2015,31
2015-10-15T11:00:00Z,Ashburton,21.8,6.1,10,2015,31
2015-10-16T11:00:00Z,Ashburton,17.7,7.9,10,2015,31
2015-10-17T11:00:00Z,Ashburton,8.6,3,10,2015,31
2015-10-18T11:00:00Z,Ashburton,17.9,5.6,10,2015,31
2015-10-19T11:00:00Z,Ashburton,16.8,5,10,2015,31
2015-10-20T11:00:00Z,Ashburton,26.6,3,10,2015,31
2015-10-21T11:00:00Z,Ashburton,19.6,8,10,2015,31
2015-10-22T11:00:00Z,Ashburton,22.2,8.8,10,2015,31
2015-10-23T11:00:00Z,Ashburton,19.4,7.7,10,2015,31
2015-10-24T11:00:00Z,Ashburton,14.1,6.3,10,2015,31
2015-10-25T11:00:00Z,Ashburton,12.8,4.4,10,2015,31
2015-10-26T11:00:00Z,Ashburton,13.2,6,10,2015,31
2015-10-27T11:00:00Z,Ashburton,15.6,9.5,10,2015,31
2015-10-28T11:00:00Z,Ashburton,13.1,6.9,10,2015,31
2015-10-29T11:00:00Z,Ashburton,9.6,5.5,10,2015,31
2015-10-30T11:00:00Z,Ashburton,11.5,5.7,10,2015,31
2015-10-31T11:00:00Z,Ashburton,13.9,7,11,2015,30
2015-11-01T11:00:00Z,Ashburton,21.6,6.6,11,2015,30
2015-11-02T11:00:00Z,Ashburton,10.2,2.9,11,2015,30
2015-11-03T11:00:00Z,Ashburton,12.7,9.5,11,2015,30
2015-11-04T11:00:00Z,Ashburton,12.8,7.2,11,2015,30
2015-11-05T11:00:00Z,Ashburton,18.5,8.5,11,2015,30
2015-11-06T11:00:00Z,Ashburton,24.2,13.1,11,2015,30
2015-11-07T11:00:00Z,Ashburton,26,16.1,11,2015,30
2015-11-08T11:00:00Z,Ashburton,13.9,9.1,11,2015,30
2015-11-09T11:00:00Z,Ashburton,21.3,9.3,11,2015,30
2015-11-10T11:00:00Z,Ashburton,11.5,5.7,11,2015,30
2015-11-11T11:00:00Z,Ashburton,9.4,4.3,11,2015,30
2015-11-12T11:00:00Z,Ashburton,13.5,5.5,11,2015,30
2015-11-13T11:00:00Z,Ashburton,9.2,3.1,11,2015,30
2015-11-14T11:00:00Z,Ashburton,12.3,5.7,11,2015,30
2015-11-15T11:00:00Z,Ashburton,13.1,5,11,2015,30
2015-11-16T11:00:00Z,Ashburton,14.7,6.5,11,2015,30
2015-11-17T11:00:00Z,Ashburton,19.3,6.1,11,2015,30
2015-11-18T11:00:00Z,Ashburton,23.1,8.1,11,2015,30
2015-11-19T11:00:00Z,Ashburton,16.4,4.3,11,2015,30
2015-11-20T11:00:00Z,Ashburton,20.9,7.3,11,2015,30
